adsh,tag,version,coreg,ddate,qtrs,uom,value,footnote
0001062993-18-003905,EntityPublicFloat,dei/2014,,20171130,0,USD,807997,
0001607062-18-000308,EntityPublicFloat,dei/2014,,20180930,0,USD,0,
0001104659-18-060325,EntityPublicFloat,dei/2014,,20170630,0,USD,242600000,
0001127855-18-000204,EntityPublicFloat,dei/2014,,20160731,0,USD,0,
0001599916-18-000170,EntityPublicFloat,dei/2014,,20180930,0,USD,304,
0001117768-18-000942,EntityPublicFloat,dei/2014,,20180831,0,USD,2662590,
0001477932-18-004745,EntityPublicFloat,dei/2014,,20170630,0,USD,3849001,
0001144204-18-052711,EntityPublicFloat,dei/2014,,20170630,0,USD,153348,
0001528930-18-000029,EntityPublicFloat,dei/2014,,20171031,0,USD,113476272,
0001127855-18-000210,EntityPublicFloat,dei/2014,,20160731,0,USD,0,
0001127855-18-000216,EntityPublicFloat,dei/2014,,20160731,0,USD,0,
0001127855-18-000224,EntityPublicFloat,dei/2014,,20180731,0,USD,0,
0001127855-18-000228,EntityPublicFloat,dei/2014,,20180731,0,USD,0,
0001127855-18-000220,EntityPublicFloat,dei/2014,,20170731,0,USD,0,
0001127855-18-000218,EntityPublicFloat,dei/2014,,20170731,0,USD,0,
0001127855-18-000222,EntityPublicFloat,dei/2014,,20170731,0,USD,0,
0001683168-18-002989,EntityPublicFloat,dei/2014,,20170630,0,USD,25052562,
0001127855-18-000214,EntityPublicFloat,dei/2014,,20160731,0,USD,0,
0001688852-18-000045,EntityPublicFloat,dei/2014,,20170630,0,USD,249500000,
0001640334-18-001892,EntityPublicFloat,dei/2014,,20171231,0,USD,8993000,
0001528930-18-000034,EntityPublicFloat,dei/2014,,20171031,0,USD,113476272,
0001127855-18-000236,EntityPublicFloat,dei/2014,,20180531,0,USD,52272293,
0001640334-18-001899,EntityPublicFloat,dei/2014,,20171231,0,USD,3045000,
0000074046-18-000046,EntityPublicFloat,dei/2014,,20180131,0,USD,193369000,
0000732717-18-000076,EntityPublicFloat,dei/2014,,20170630,0,USD,2.32E+11,
0001052918-18-000382,EntityPublicFloat,dei/2014,,20171231,0,USD,6869022,
0001599916-18-000180,EntityPublicFloat,dei/2014,,20181031,0,USD,304,
0001681769-18-000013,EntityPublicFloat,dei/2014,,20180731,0,USD,0,
0001684508-18-000015,EntityPublicFloat,dei/2014,,20180831,0,USD,0,
0001284084-18-000061,EntityPublicFloat,dei/2014,,20180228,0,USD,2422512285,
0001393905-18-000304,EntityPublicFloat,dei/2014,,20170630,0,USD,462204,
0001685237-18-000018,EntityPublicFloat,dei/2014,,20180831,0,USD,0,
0000868611-18-000055,EntityPublicFloat,dei/2014,,20180228,0,USD,926082360,
0001702744-18-000064,EntityPublicFloat,dei/2014,,20170228,0,USD,452417000,
0000912603-18-000078,EntityPublicFloat,dei/2014,,20180228,0,USD,892383882,
0001467373-18-000318,EntityPublicFloat,dei/2014,,20180228,0,USD,99465708231,
0001564590-18-024810,EntityPublicFloat,dei/2014,,20180228,0,USD,936720708,
0001599916-18-000185,EntityPublicFloat,dei/2014,,20181031,0,USD,0,
0001599916-18-000183,EntityPublicFloat,dei/2014,,20181031,0,USD,0,
0001041803-18-000043,EntityPublicFloat,dei/2014,,20180228,0,USD,1720480781,
0000038009-18-000237,EntityPublicFloat,dei/2014,,20180930,0,USD,0,
0001144215-18-000110,EntityPublicFloat,dei/2014,,20180228,0,USD,4110000000,
0001193125-18-309091,EntityPublicFloat,dei/2014,,20180930,0,USD,7810381908,
0000047111-18-000049,EntityPublicFloat,dei/2014,,20170630,0,USD,14885931198,
0001721868-18-000643,EntityPublicFloat,dei/2014,,20161231,0,USD,1950529,
0000006955-18-000038,EntityPublicFloat,dei/2014,,20180228,0,USD,1371573067,
0000074303-18-000059,EntityPublicFloat,dei/2014,,20170630,0,USD,5008796298,
0001295345-18-000050,EntityPublicFloat,dei/2014,,20171231,0,USD,144270,
0000354908-18-000089,EntityPublicFloat,dei/2014,,20180930,0,USD,4711497291,
0000103730-18-000041,EntityPublicFloat,dei/2014,,20180630,0,USD,3076000000,
0001357615-18-000193,EntityPublicFloat,dei/2014,,20170630,0,USD,2100000000,
0000867773-18-000082,EntityPublicFloat,dei/2014,,20170630,0,USD,552451044,
0001522165-18-000023,EntityPublicFloat,dei/2014,,20180630,0,USD,10450000,
0000894081-18-000151,EntityPublicFloat,dei/2014,,20170630,0,USD,1260495219,
0000056701-18-000044,EntityPublicFloat,dei/2014,,20171231,0,USD,8010893,
0001295345-18-000055,EntityPublicFloat,dei/2014,,20170630,0,USD,196312,
0001193125-18-317510,EntityPublicFloat,dei/2014,,20170630,0,USD,1800000000,
0001551163-18-000171,EntityPublicFloat,dei/2014,,20180630,0,USD,35010000,
0001062993-18-004398,EntityPublicFloat,dei/2014,,20180131,0,USD,1064250,
0001617351-18-000020,EntityPublicFloat,dei/2014,,20180731,0,USD,0,
0001582568-18-000071,EntityPublicFloat,dei/2014,,20170630,0,USD,450100000,
0001193125-18-322480,EntityPublicFloat,dei/2014,,20180930,0,USD,1125970031,
0001130310-18-000023,EntityPublicFloat,dei/2014,,20170630,0,USD,11722467012,
0000769520-18-000014,EntityPublicFloat,dei/2014,,20180930,0,USD,54651802,
0001558370-18-009048,EntityPublicFloat,dei/2014,,20180331,0,USD,27055890,
0000896841-18-000145,EntityPublicFloat,dei/2014,,20170930,0,USD,222066526,
0001581874-18-000015,EntityPublicFloat,dei/2014,,20180630,0,USD,0,
0000038777-18-000233,EntityPublicFloat,dei/2014,,20180331,0,USD,11000000000,
0001628280-18-014124,EntityPublicFloat,dei/2014,,20170630,0,USD,2341862448,
0001260221-18-000070,EntityPublicFloat,dei/2014,,20180331,0,USD,14986503095,
0001193805-18-001328,EntityPublicFloat,dei/2014,,20170630,0,USD,52265626,
0001599916-18-000203,EntityPublicFloat,dei/2014,,20181031,0,USD,0,
0001551163-18-000175,EntityPublicFloat,dei/2014,,20180630,0,USD,195645159,
0001276531-18-000013,EntityPublicFloat,dei/2014,,20180630,0,USD,3186000,
0001047469-18-007225,EntityPublicFloat,dei/2014,,20180331,0,USD,5500000000,
0001551163-18-000184,EntityPublicFloat,dei/2014,,20171231,0,USD,197897747,
0001417398-18-000043,EntityPublicFloat,dei/2014,,20170331,0,USD,2259976,
0001628280-18-014272,EntityPublicFloat,dei/2014,,20170630,0,USD,87300000,
0001047469-18-007210,EntityPublicFloat,dei/2014,,20180331,0,USD,36300000000,
0000915840-18-000052,EntityPublicFloat,dei/2014,,20180331,0,USD,520899550,
0001551163-18-000178,EntityPublicFloat,dei/2014,,20180630,0,USD,11000000,
0000950159-18-000507,EntityPublicFloat,dei/2014,,20180630,0,USD,753000,
0001556244-18-000162,EntityPublicFloat,dei/2014,,20180930,0,USD,1738000,
0000862668-18-000025,EntityPublicFloat,dei/2014,,20171231,0,USD,1585000,
0001599916-18-000209,EntityPublicFloat,dei/2014,,20181031,0,USD,0,
0001217160-18-000158,EntityPublicFloat,dei/2014,,20180228,0,USD,19125847,
0001628280-18-014390,EntityPublicFloat,dei/2014,,20170331,0,USD,1684632316,
0001678746-18-000010,EntityPublicFloat,dei/2014,,20180731,0,USD,0,
0001696195-18-000018,EntityPublicFloat,dei/2014,,20180930,0,USD,41125,
0001558370-18-009372,EntityPublicFloat,dei/2014,,20180331,0,USD,1469585039,
0001551163-18-000194,EntityPublicFloat,dei/2014,,20180630,0,USD,127061,
0000004127-18-000046,EntityPublicFloat,dei/2014,,20180331,0,USD,18194560180,
0001558370-18-009382,EntityPublicFloat,dei/2014,,20180331,0,USD,296922788,
0000857005-18-000025,EntityPublicFloat,dei/2014,,20180331,0,USD,8976658598,
0001558370-18-009412,EntityPublicFloat,dei/2014,,20180331,0,USD,7250000000,
0001551163-18-000202,EntityPublicFloat,dei/2014,,20180630,0,USD,6000000,
0000785786-18-000051,EntityPublicFloat,dei/2014,,20180331,0,USD,1900000000,
0001113256-18-000120,EntityPublicFloat,dei/2014,,20180331,0,USD,1766433323,
0001556244-18-000170,EntityPublicFloat,dei/2014,,20170630,0,USD,21605038,
0001406587-18-000012,EntityPublicFloat,dei/2014,,20180630,0,USD,217000000,
0001632790-18-000107,EntityPublicFloat,dei/2014,,20180331,0,USD,3556096825,
0000882184-18-000120,EntityPublicFloat,dei/2014,,20180331,0,USD,15499559000,
0001493594-18-000034,EntityPublicFloat,dei/2014,,20180331,0,USD,700000000,
0001599916-18-000211,EntityPublicFloat,dei/2014,,20181130,0,USD,745,
0001096752-18-000043,EntityPublicFloat,dei/2014,,20180331,0,USD,2224930833,
0001101396-18-000043,EntityPublicFloat,dei/2014,,20180331,0,USD,116400000,
0000032604-18-000044,EntityPublicFloat,dei/2014,,20180331,0,USD,42900000000,
0001551163-18-000206,EntityPublicFloat,dei/2014,,20180630,0,USD,6681005,
0000884614-18-000033,EntityPublicFloat,dei/2014,,20180331,0,USD,7648020563,
0000063296-18-000124,EntityPublicFloat,dei/2014,,20180331,0,USD,1600000000,
0000056978-18-000142,EntityPublicFloat,dei/2014,,20180331,0,USD,1745400000,
0000932628-18-000022,EntityPublicFloat,dei/2014,,20180331,0,USD,2760131827,
0001522165-18-000026,EntityPublicFloat,dei/2014,,20180630,0,USD,10450000,
0001650962-18-000102,EntityPublicFloat,dei/2014,,20170630,0,USD,2600000000,
0000833444-18-000053,EntityPublicFloat,dei/2014,,20170331,0,USD,32600000000,
0001002517-18-000064,EntityPublicFloat,dei/2014,,20180331,0,USD,3541914054,
0001635965-18-000042,EntityPublicFloat,dei/2014,,20180630,0,USD,0,
0000100548-18-000021,EntityPublicFloat,dei/2014,,20180331,0,USD,0,
0000859737-18-000020,EntityPublicFloat,dei/2014,,20180331,0,USD,10174623483,
0001001039-18-000187,EntityPublicFloat,dei/2014,,20180331,0,USD,1.5E+11,
0001584509-18-000226,EntityPublicFloat,dei/2014,,20180331,0,USD,9603000000,
0001048695-18-000031,EntityPublicFloat,dei/2014,,20180331,0,USD,8818001249,
0000052988-18-000036,EntityPublicFloat,dei/2014,,20180331,0,USD,8300000000,
0001223389-18-000063,EntityPublicFloat,dei/2014,,20170731,0,USD,489700000,
0001062993-18-004777,EntityPublicFloat,dei/2014,,20180228,0,USD,5559000,
0001137411-18-000111,EntityPublicFloat,dei/2014,,20180331,0,USD,22100000000,
0001062993-18-004829,EntityPublicFloat,dei/2014,,20180228,0,USD,8793048,
0001558370-18-009471,EntityPublicFloat,dei/2014,,20180228,0,USD,608967000,
0000021510-18-000029,EntityPublicFloat,dei/2014,,20180331,0,USD,3089114531,
0001666138-18-000129,EntityPublicFloat,dei/2014,,20180331,0,USD,772100000,
0001599916-18-000213,EntityPublicFloat,dei/2014,,20181031,0,USD,0,
0001078782-18-001376,EntityPublicFloat,dei/2014,,20180630,0,USD,1276171,
0001670541-18-000065,EntityPublicFloat,dei/2014,,20180331,0,USD,5600000000,
0001683168-18-003580,EntityPublicFloat,dei/2014,,20170930,0,USD,11000000,
0001558370-18-009497,EntityPublicFloat,dei/2014,,20180331,0,USD,1303513402,
0001488813-18-000045,EntityPublicFloat,dei/2014,,20170630,0,USD,814989106,
0001069533-18-000048,EntityPublicFloat,dei/2014,,20180331,0,USD,188207371,
0001219601-18-000043,EntityPublicFloat,dei/2014,,20170630,0,USD,8073323168,
0001062993-18-004925,EntityPublicFloat,dei/2014,,20171231,0,USD,387520188,
0001552164-18-000009,EntityPublicFloat,dei/2014,,20170731,0,USD,0,
0001235468-18-000007,EntityPublicFloat,dei/2014,,20180331,0,USD,168264570,
0001680525-18-000024,EntityPublicFloat,dei/2014,,20180630,0,USD,0,
0001193125-18-344274,EntityPublicFloat,dei/2014,,20180331,0,USD,125188131,
0001552164-18-000011,EntityPublicFloat,dei/2014,,20170731,0,USD,0,
0000050493-18-000024,EntityPublicFloat,dei/2014,,20180331,0,USD,476000000,
0000939057-18-000595,EntityPublicFloat,dei/2014,,20180331,0,USD,224700000,
0001625285-18-000010,EntityPublicFloat,dei/2014,,20170430,0,USD,0,
0001625285-18-000008,EntityPublicFloat,dei/2014,,20170430,0,USD,0,
0001625285-18-000012,EntityPublicFloat,dei/2014,,20180430,0,USD,0,
0001423221-18-000016,EntityPublicFloat,dei/2014,,20180430,0,USD,593689919,
0001616741-18-000021,EntityPublicFloat,dei/2014,,20180331,0,USD,47511066,
0001628280-18-015054,EntityPublicFloat,dei/2014,,20180430,0,USD,25624852116,
0000913760-18-000157,EntityPublicFloat,dei/2014,,20180331,0,USD,565400000,
0001144204-18-064355,EntityPublicFloat,dei/2014,,20180331,0,USD,91645305,
0001628280-18-015124,EntityPublicFloat,dei/2014,,20180731,0,USD,80352000000,
0000058361-18-000038,EntityPublicFloat,dei/2014,,20180331,0,USD,102433453,
